"Folge","Titel","Sender","Erstausstrahlung","Ermittler","Fall","Autor","Regie","Besonderheiten"
812,"Borowski und die Frau am Fenster","NDR","02.10.2011","Borowski und Brandt",17,"Sascha Arango","Stephan Wagner","Erster Fall mit Kriminalkommissarin Sarah Brandt"
813,"Das erste Opfer","SWR","09.10.2011","Lannert und Bootz",9,"Stephan Brüggenthies, Leo P. Ard und Birgit Grosz","Nicolai Rohde",""
814,"Das schwarze Haus","SWR","16.10.2011","Blum und Perlmann",21,"Thomas Bohn","Thomas Bohn",""
815,"Mauerpark","RBB","23.10.2011","Ritter und Stark",31,"Heiko Schier","Heiko Schier",""
816,"Borowski und der coole Hund","NDR","06.11.2011","Borowski und Brandt",18,"Michael Proehl nach einer Vorlage von Henning Mankell","Christian Alvart",""
817,"Der Tote im Nachtzug","HR","20.11.2011","Steier und Mey",2,"Lars Kraume","Lars Kraume","Deutscher Fernsehkrimipreis 2012, nominiert für den Grimme-Preis 2012"
818,"Ein ganz normaler Fall","BR","27.11.2011","Batic und Leitmayr",60,"Daniel Wolf,Rochus Hahn","Torsten C. Fischer",""
819,"Das Dorf","HR","04.12.2011","Murot",2,"Daniel Nocke","Justus von Dohnányi","Nominiert für den Grimme-Preis 2012"
820,"Schwarze Tiger, weiße Löwen","NDR","11.12.2011","Lindholm",19,"Ulrike Molsen","Roland Suso Richter",""
821,"Der Weg ins Paradies","NDR","18.12.2011","Batu",5,"Alexander Adolph","Lars Becker",""
822,"Tödliche Häppchen","SWR","01.1.2012","Odenthal und Kopper",55,"Josh Broecker,Frauke Hunfeld","Josh Broecker",""
823,"Keine Polizei","WDR","08.1.2012","Ballauf und Schenk",52,"Norbert Ehry","Kaspar Heidelbach",""
824,"Todesbilder","MDR","15.1.2012","Saalfeld und Keppler",12,"Miguel Alexandre","Miguel Alexandre",""
825,"Verschleppt","SR","22.1.2012","Kappl und Deininger",7,"Khyana el Bitar,Dörte Franke","Hannu Salonen","Letzter Fall dieses Teams"
826,"Schmuggler","SWR","29.1.2012","Blum und Perlmann",22,"Leo P. Ard, Birgit Grosz","Jürgen Bretzinger","Tanja Kraft (Alwara Höfels) als Schwangerschaftsvertretung für „Beckchen“"
827,"Kein Entkommen","ORF","05.2.2012","Eisner und Fellner",27,"Fabian Eder, Lukas Sturm","Fabian Eder","Stellte mit 15 getöteten Personen weiteren „Leichenrekord“ auf, abgelöst durch Kopfgeld (2014)"
828,"Ordnung im Lot","Radio Bremen","12.2.2012","Lürsen und Stedefreund",25,"Peter Henning und Claudia Prietzel","Peter Henning und Claudia Prietzel",""
829,"Der traurige König","BR","26.2.2012","Batic und Leitmayr",61,"Jobst Oetzmann und Magnus Vattrodt","Thomas Stiller","Publikumspreis des Deutschen Fernsehkrimipreises 2012"
830,"Scherbenhaufen","SWR","04.3.2012","Lannert und Bootz",10,"Eva und Volker A. Zahn","Johannes Grieser",""
831,"Hinkebein","WDR","11.3.2012","Thiel und Boerne",21,"Jan Hinter, Stefan Cantz","Manfred Stelzer",""
832,"Falsch verpackt","ORF","25.3.2012","Eisner und Fellner",28,"Martin Ambrosch","Sabine Derflinger",""
833,"Alles hat seinen Preis","RBB","01.4.2012","Ritter und Stark",32,"Hartmut Block, Michael Gantenberg","Florian Kern",""
834,"Kinderland","MDR/WDR","08.4.2012","Saalfeld und Keppler",13,"Jürgen Werner","Thomas Jauch","Erster Teil einer Doppelfolge"
835,"Ihr Kinderlein kommet","WDR/MDR","09.4.2012","Ballauf und Schenk",54,"Jürgen Werner","Thomas Jauch","Fortsetzung der Folge Kinderland"
836,"Es ist böse","HR","22.4.2012","Steier und Mey",3,"Lars Kraume, nach dem Buch „Auf der Spur des Bösen“ von Axel Petermann","Stefan Kornatz",""
837,"Die Ballade von Cenk und Valerie","NDR","06.5.2012","Batu",6,"Matthias Glasner","Matthias Glasner","Letzter Fall dieses Ermittlers. Nominiert für den Grimme-Preis 2013."
838,"Der Wald steht schwarz und schweiget","SWR","13.5.2012","Odenthal und Kopper",56,"Dorothee Schön","Ed Herzog",""
839,"Skalpell","SRF","28.5.2012","Flückiger und Ritschard",2,"Urs Bühler","Tobias Ineichen","Erster Fall für Hauptkommissarin Liz Ritschard"
840,"Hanglage mit Aussicht","SRF","26.8.2012","Flückiger und Ritschard",3,"Felix Benesch","Sabine Boss",""
841,"Fette Hunde","WDR","02.9.2012","Ballauf und Schenk",55,"André Georgi","Andreas Kleinert",""
842,"Borowski und der stille Gast","NDR","09.9.2012","Borowski und Brandt",19,"Sascha Arango","Christian Alvart",""
843,"Hochzeitsnacht","Radio Bremen","16.9.2012","Lürsen und Stedefreund",26,"Jochen Greve","Florian Baxmeyer",""
844,"Alter Ego","WDR","23.9.2012","Faber, Bönisch, Dalay und Kossik",1,"Jürgen Werner","Thomas Jauch","Erster Fall mit dem neuen Team Dortmund"
845,"Nachtkrapp","SWR/SRF","07.10.2012","Blum und Perlmann, Matteo Lüthi",23,"Melody Kreiss","Patrick Winczewski","Zehnjähriges Bestehen des Bodensee-Tatorts"
846,"Borowski und der freie Fall","NDR","14.10.2012","Borowski und Brandt",20,"Eoin Moore, nach einer Idee von Fred Breinersdorfer","Eoin Moore","Gastauftritt von Tom Buhrow, Einbau fiktiver Ermittlungen rund um den Tod Uwe Barschels"
847,"Tote Erde","SWR","21.10.2012","Lannert und Bootz",11,"Wolf Jakoby, Thomas Freundner","Thomas Freundner","Wegen Erkrankung von Carolina Vera übernahm Natalia Wörner kurzfristig und vorübergehend die Rolle der Staatsanwältin."
848,"Ein neues Leben","BR","28.10.2012","Batic und Leitmayr",62,"Fred Breinersdorfer, Léonie-Claire Breinersdorfer","Elmar Fischer",""
849,"Mein Revier","WDR","11.11.2012","Faber, Bönisch, Dalay und Kossik",2,"Jürgen Werner","Thomas Jauch",""
850,"Dinge, die noch zu tun sind","RBB","18.11.2012","Ritter und Stark",33,"Jörg Tensing","Claudia Garde","Tatort im Rahmen der ARD-Themenwoche „Leben mit dem Tod“."
851,"Das Wunder von Wolbeck","WDR","25.11.2012","Thiel und Boerne",22,"Wolfgang Stauch","Matthias Tiefenbacher","Zehnjähriges Bestehen des Tatorts Münster."
852,"Todesschütze","MDR","02.12.2012","Saalfeld und Keppler",15,"Mario Giordano, Andreas Schlüter","Johannes Grieser",""
853,"Wegwerfmädchen","NDR","09.12.2012","Lindholm",20,"Stefan Dähnert","Franziska Meletzky","1. Teil einer Doppelfolge"
854,"Das goldene Band","NDR","16.12.2012","Lindholm",21,"Stefan Dähnert","Franziska Meletzky","2. Teil einer Doppelfolge"
855,"Im Namen des Vaters","HR","26.12.2012","Steier und Mey",4,"Lars Kraume","Lars Kraume","Basierend auf der Vorlage Auf der Spur des Bösen von Axel Petermann. Uraufgeführt am 3. Okt. 2012 beim Filmfest Hamburg"
856,"Der tiefe Schlaf","BR","30.12.2012","Batic und Leitmayr",63,"Alexander Adolph","Alexander Adolph","Nominiert für den Grimme-Preis 2013"
857,"Scheinwelten","WDR","01.1.2013","Ballauf und Schenk",56,"Johannes Rotter","Andreas Herzog",""
858,"Machtlos","RBB","06.1.2013","Ritter und Stark",34,"Klaus Krämer","Klaus Krämer",""
859,"Kaltblütig","SWR","13.1.2013","Odenthal und Kopper",57,"Christoph Darnstädt","Andreas Senn",""
860,"Melinda","SR","27.1.2013","Stellbrink und Marx",1,"Lars Montag, Dirk Kämper","Hannu Salonen","Neues Team für Saarbrücken"
861,"Die schöne Mona ist tot","SWR","03.2.2013","Blum und Perlmann",24,"Wolfgang Stauch","Ed Herzog",""
862,"Schmutziger Donnerstag","SRF","10.2.2013","Flückiger und Ritschard",4,"Petra Lüschow","Dani Levy",""
863,"Zwischen den Fronten","ORF","17.2.2013","Eisner und Fellner",29,"Verena Kurth","Harald Sicheritz",""
864,"Puppenspieler","Radio Bremen","24.2.2013","Lürsen und Stedefreund",27,"Christian Jeltsch","Florian Baxmeyer","Günter-Strack-Fernsehpreis 2013 an Jella Haase"
865,"Willkommen in Hamburg","NDR","10.3.2013","Tschiller und Gümer",1,"Christoph Darnstädt","Christian Alvart","Erster Einsatz für die Hauptkommissare Nick Tschiller und Yalcin Gümer"
866,"Schwarzer Afghane","MDR","17.3.2013","Saalfeld und Keppler",16,"Holger Jancke","Thomas Jahn",""
867,"Summ, Summ, Summ","WDR","24.3.2013","Thiel und Boerne",23,"Stefan Cantz, Jan Hinter","Kaspar Heidelbach","Als Gast: Roland Kaiser als Schlagersänger Roman König."
868,"Macht und Ohnmacht","BR","01.4.2013","Batic und Leitmayr",64,"Dinah Marte Golch","Thomas Stiller","Gastauftritt von Carlo Menzinger (Michael Fitz)"
869,"Eine Handvoll Paradies","SR","07.4.2013","Stellbrink und Marx",2,"Felice Götze","Hannu Salonen",""
870,"Wer das Schweigen bricht","HR","14.4.2013","Steier und Mey",5,"Lars Kraume nach einer Kurzgeschichte von Axel Petermann","Edward Berger","Letzter Fall mit KHK Conny Mey"
871,"Trautes Heim","WDR","21.4.2013","Ballauf und Schenk",57,"Frank Koopmann, Roland Heep, Benjamin Hessler","Christoph Schnee",""
872,"Feuerteufel","NDR","28.4.2013","Falke und Lorenz",1,"Markus Busch","Özgür Yildirim","Neues Team für Norddeutschland (erster Fall in Hamburg)"
873,"Borowski und der brennende Mann","NDR","12.5.2013","Borowski und Brandt",21,"Daniel Nocke","Lars Kraume",""
874,"Unvergessen","ORF","20.5.2013","Eisner und Fellner",30,"Sascha Bigler","Sascha Bigler",""
875,"Spiel auf Zeit","SWR","26.5.2013","Lannert und Bootz",12,"Holger Karsten Schmidt","Roland Suso Richter","Tatort+: Bereits eine Woche vor Erstausstrahlung konnten Zuschauer die Handlung im Internet virtuell weiterführen."
876,"Er wird töten","Radio Bremen","09.6.2013","Lürsen und Stedefreund",28,"Christian Jeltsch","Florian Baxmeyer",""
877,"Die Wahrheit stirbt zuerst","MDR","16.6.2013","Saalfeld und Keppler",17,"Miguel Alexandre, Harald Göckeritz, André Georgi","Miguel Alexandre",""
878,"Letzte Tage","SWR/SRF","23.6.2013","Blum und Perlmann, Matteo Lüthi",25,"Stefan Dähnert","Elmar Fischer",""
879,"Geburtstagskind","SRF","18.8.2013","Flückiger und Ritschard",5,"Moritz Gerber","Tobias Ineichen",""
880,"Gegen den Kopf","RBB","08.9.2013","Ritter und Stark",35,"Stephan Wagner, Frauke Hunfeld","Stephan Wagner",""
881,"Angezählt","ORF","15.9.2013","Eisner und Fellner",31,"Martin Ambrosch","Sabine Derflinger","Grimme-Preis 2014"
882,"Freunde bis in den Tod","SWR","06.10.2013","Odenthal und Kopper",58,"Harald Göckeritz","Nicolai Rohde","Open-Air Tatort-Vorpremiere beim SWR-Sommerfestival am 4. Juli 2013"
883,"Die chinesische Prinzessin","WDR","20.10.2013","Thiel und Boerne",24,"Orkun Ertener","Lars Jessen",""
884,"Aus der Tiefe der Zeit","BR","27.10.2013","Batic und Leitmayr",65,"Bernd Schwamm","Dominik Graf",""
885,"Kalter Engel","MDR","03.11.2013","Funck, Schaffert und Grewel",1,"Thomas Bohn","Thomas Bohn","Erster Fall des neuen Teams aus Erfurt"
886,"Eine andere Welt","WDR","17.11.2013","Faber, Bönisch, Dalay und Kossik",3,"Jürgen Werner","Andreas Herzog",""
887,"Mord auf Langeoog","NDR","24.11.2013","Falke und Lorenz",2,"Max Eipp, Stefan Kornatz","Stefan Kornatz","Uraufgeführt am 3. Oktober 2013 beim Filmfest Hamburg, Team ermittelt auf Langeoog"
888,"Happy Birthday, Sarah","SWR","01.12.2013","Lannert und Bootz",13,"Wolfgang Stauch","Oliver Kienle","Jupiter und Günter-Strack-Fernsehpreis an Ruby O. Fee"
889,"Schwindelfrei","HR","08.12.2013","Murot",3,"Justus von Dohnányi","Justus von Dohnányi","Murot ermittelt in Fulda"
890,"Allmächtig","BR","22.12.2013","Batic und Leitmayr",66,"Gerlinde Wolf, Harald Göckeritz und Edward Berger","Jochen Alexander Freydank",""
891,"Die Fette Hoppe","MDR","26.12.2013","Lessing und Dorn",1,"Murmel Clausen, Andreas Pflüger","Franziska Meletzky","Erster Fall des neuen Teams aus Weimar, „Event“-Tatort zu Weihnachten 2013"
892,"Borowski und der Engel","NDR","29.12.2013","Borowski und Brandt",22,"Sascha Arango","Andreas Kleinert","Uraufgeführt am 27. Sep. 2013 beim Filmfest Hamburg. Nominiert für den Grimme-Preis 2014"
893,"Türkischer Honig","MDR","01.1.2014","Saalfeld und Keppler",18,"Andreas Pflüger","Christine Hartmann",""
894,"Der Eskimo","HR","05.1.2014","Steier",6,"Hendrik Handloegten, Achim von Borries","Achim von Borries","Uraufgeführt am 30. Sep. 2013 beim Filmfest Hamburg"
895,"Franziska","WDR","05.1.2014","Ballauf und Schenk",58,"Jürgen Werner","Dror Zahavi","Uraufgeführt am 29. Sep. 2013 bei der Cologne Conference. Letzte Folge mit Franziska Lüttgenjohann; wurde aus Jugendschutzgründen erst ab 22 Uhr ausgestrahlt."
896,"Todesspiel","SWR","19.1.2014","Blum und Perlmann",26,"Leo P. Ard","Jürgen Bretzinger",""
897,"Adams Alptraum","SR","26.1.2014","Stellbrink und Marx",3,"Lars Montag, Dirk Kämper","Hannu Salonen",""
898,"Auf ewig Dein","WDR","02.2.2014","Faber, Bönisch, Dalay und Kossik",4,"Jürgen Werner","Dror Zahavi",""
899,"Großer schwarzer Vogel","RBB","09.2.2014","Ritter und Stark",36,"Titus Selge, Jochen Greve, Britta Stöckle","Alexander Dierbach","Letzter Fall für Hauptkommissar Till Ritter"
900,"Zirkuskind","SWR","16.2.2014","Odenthal und Kopper",59,"Harald Göckeritz","Till Endemann",""
901,"Brüder","Radio Bremen","23.2.2014","Lürsen und Stedefreund",29,"Wilfried Huismann, Dagmar Gabler","Florian Baxmeyer",""
902,"Abgründe","ORF","02.3.2014","Eisner und Fellner",32,"Uli Brée","Harald Sicheritz",""
903,"Kopfgeld","NDR","09.3.2014","Tschiller und Gümer",2,"Christoph Darnstädt","Christian Alvart",""
904,"Frühstück für immer","MDR","16.3.2014","Saalfeld und Keppler",19,"Katrin Bühlig","Claudia Garde",""
905,"Der Fall Reinhardt","WDR","23.3.2014","Ballauf und Schenk",59,"Dagmar Gabler","Torsten C. Fischer","Uraufgeführt am 29. September 2013 beim Filmfest Hamburg"
906,"Borowski und das Meer","NDR","30.3.2014","Borowski und Brandt",23,"Christian Jeltsch","Sabine Derflinger",""
907,"Der Hammer","WDR","13.4.2014","Thiel und Boerne",25,"Lars Kraume","Lars Kraume",""
908,"Zwischen zwei Welten","SRF","21.4.2014","Flückiger und Ritschard",6,"Eveline Stähelin und Josy Meier","Michael Schaerer",""
909,"Kaltstart","NDR","27.4.2014","Falke und Lorenz",3,"Raimund Maessen, Volker Krappen","Marvin Kren","Team verlässt das LKA Hamburg: Erstmals Tatort-Ermittlungen für die Bundespolizei, Team ermittelt in Wilhelmshaven"
910,"Am Ende des Flurs","BR","04.5.2014","Batic und Leitmayr",67,"Catharina Schuchmann, Max Färberböck","Max Färberböck","Assistent Kalli Hammermann (Ferdinand Hofer) und Fallanalytikerin Christine Lerch (Lisa Wagner) ergänzen das Team"
911,"Ohnmacht","WDR","11.5.2014","Ballauf und Schenk",60,"Andreas Knaup","Thomas Jauch",""
912,"Alle meine Jungs","Radio Bremen","18.5.2014","Lürsen und Stedefreund",30,"Erol Yesilkaya, Boris Dennulat, Matthias Tuchmann","Florian Baxmeyer",""
913,"Freigang","SWR","09.6.2014","Lannert und Bootz",14,"Martin Eigler, Sönke Lars Neuwöhner","Martin Eigler",""
914,"Paradies","ORF","31.8.2014","Eisner und Fellner",33,"Uli Brée","Harald Sicheritz",""
915,"Verfolgt","SRF","07.9.2014","Flückiger und Ritschard",7,"Martin Maurer","Tobias Ineichen",""
916,"Der Wüstensohn","BR","14.9.2014","Batic und Leitmayr",68,"Alex Buresch, Matthias Pacht","Rainer Kaufmann","Günter-Strack-Fernsehpreis 2015 an Yasin el Harrouk"
917,"Mord ist die beste Medizin","WDR","21.9.2014","Thiel und Boerne",26,"Dorothee Schön","Thomas Jauch",""
918,"Wahre Liebe","WDR","28.9.2014","Ballauf und Schenk",61,"Maxim Leo","André Erkau","Letzte Folge mit Christian Tasche, der während der Dreharbeiten verstorben ist."
919,"Winternebel","SWR/SRF","05.10.2014","Blum und Perlmann, Matteo Lüthi",27,"Jochen Greve","Patrick Winczewski",""
920,"Im Schmerz geboren","HR","12.10.2014","Murot",4,"Michael Proehl","Florian Schwarz","Premiere und Bernd Burgemeister Fernsehpreis beim Filmfest München 2014; Medienkulturpreis beim Festival des deutschen Films 2014, zwei Goldene Kameras 2015, Grimme-Preis 2015; Stellte mit ca. 50 getöteten Personen einen neuen „Leichenrekord“ auf."
921,"Blackout","SWR","26.10.2014","Odenthal und Kopper",60,"Eva und Volker A. Zahn","Patrick Winczewski","Fallanalytikerin Johanna Stern (Lisa Bitter) ergänzt das Team"
922,"Vielleicht","RBB","16.11.2014","Stark",37,"Klaus Krämer","Klaus Krämer","Letzter Fall für Hauptkommissar Stark, Ausstrahlung im Rahmen der ARD-Themenwoche „Toleranz“"
923,"Eine Frage des Gewissens","SWR","23.11.2014","Lannert und Bootz",15,"Sönke Lars Neuwöhner, Sven Poser","Till Endemann",""
924,"Die Feigheit des Löwen","NDR","30.11.2014","Falke und Lorenz",4,"Friedrich Ani","Marvin Kren","Uraufgeführt am 28. September 2014 beim Filmfest Hamburg, Falke und Lorenz ermitteln in Oldenburg"
925,"Der sanfte Tod","NDR","07.12.2014","Lindholm",22,"Alexander Adolph","Alexander Adolph",""
926,"Der Maulwurf","MDR","21.12.2014","Funck, Schaffert und Grewel",2,"Michael B. Müller, Leo P. Ard","Johannes Grieser","Letzter Fall des gesamten Teams"
927,"Weihnachtsgeld","SR","26.12.2014","Stellbrink und Marx",4,"Michael Illner","Zoltan Spirandelli","„Event“-Tatort zu Weihnachten 2014"
928,"Das verkaufte Lächeln","BR","28.12.2014","Batic und Leitmayr",69,"Holger Joos","Andreas Senn",""
929,"Der Irre Iwan","MDR","01.1.2015","Lessing und Dorn",2,"Murmel Clausen, Andreas Pflüger","Richard Huber",""
930,"Deckname Kidon","ORF","04.1.2015","Eisner und Fellner",34,"Max Gruber","Thomas Roth",""
931,"Hydra","WDR","11.1.2015","Faber, Bönisch, Dalay und Kossik",5,"Jürgen Werner","Nicole Weegmann",""
932,"Die Sonne stirbt wie ein Tier","SWR","18.1.2015","Odenthal und Kopper",61,"Harald Göckeritz","Patrick Winczewski",""
933,"Borowski und der Himmel über Kiel","NDR","25.1.2015","Borowski und Brandt",24,"Rolf Basedow","Christian Schwochow","Uraufgeführt am 27. September 2014 beim Filmfest Hamburg; Günter-Strack-Fernsehpreis 2015 an Elisa Schlott"
934,"Freddy tanzt","WDR","01.2.2015","Ballauf und Schenk",62,"Jürgen Werner und Andreas Knaup","Andreas Kleinert",""
935,"Château Mort","SWR/SRF","08.2.2015","Blum und Perlmann, Matteo Lüthi",28,"Stefan Dähnert","Marc Rensing",""
936,"Blutschuld","MDR","15.2.2015","Saalfeld und Keppler",20,"Stefan Kornatz","Stefan Kornatz",""
937,"Das Haus am Ende der Straße","HR","22.2.2015","Steier",7,"Michael Proehl, Erol Yesilkaya","Sebastian Marka","Letzter Fall für KHK Steier"
938,"Grenzfall","ORF","08.3.2015","Eisner und Fellner",35,"Rupert Henning","Rupert Henning",""
939,"Die Wiederkehr","Radio Bremen","15.3.2015","Lürsen und Stedefreund",31,"Matthias Tuchmann, Stefanie Veith","Florian Baxmeyer",""
940,"Das Muli","RBB","22.3.2015","Rubin und Karow",1,"Stefan Kolditz","Stephan Wagner","Neues Team für Berlin"
941,"Borowski und die Kinder von Gaarden","NDR","29.3.2015","Borowski und Brandt",25,"Eva und Volker A. Zahn","Florian Gärtner",""
942,"Frohe Ostern, Falke","NDR","06.4.2015","Falke und Lorenz",5,"Thomas Stiller","Thomas Stiller","Premiere auf dem Oldenburger Filmfest am 12./13. September 2014, Falke und Lorenz ermitteln in Hamburg, „Event“-Tatort zu Ostern 2015"
943,"Der Himmel ist ein Platz auf Erden","BR","12.4.2015","Voss, Ringelhahn, Goldwasser, Fleischer und Schatz",1,"Max Färberböck, Catharina Schuchmann","Max Färberböck","Erster Fall des neuen Teams für Franken"
944,"Dicker als Wasser","WDR","19.4.2015","Ballauf und Schenk",63,"Norbert Ehry","Kaspar Heidelbach",""
945,"Niedere Instinkte","MDR","26.4.2015","Saalfeld und Keppler",21,"Sascha Arango","Claudia Garde","Letzter Fall für Saalfeld und Keppler."
946,"Schwerelos","WDR","03.5.2015","Faber, Bönisch, Dalay und Kossik",6,"Ben Braeunlich","Züli Aladag",""
947,"Kälter als der Tod","HR","17.5.2015","Janneke und Brix",1,"Michael Proehl, Matthias Tuchmann","Florian Schwarz","Erster Fall des neuen Frankfurter Teams."
948,"Roomservice","SWR","25.5.2015","Odenthal und Kopper",62,"Stefan Dähnert, Patrick Brunken","Tim Trageser",""
949,"Erkläre Chimäre","WDR","31.5.2015","Thiel und Boerne",27,"Jan Hinter, Stefan Cantz","Kaspar Heidelbach",""
950,"Gier","ORF","07.6.2015","Eisner und Fellner",36,"Verena Kurth","Robert Dornhelm",""
951,"Wer Wind erntet, sät Sturm!","Radio Bremen","14.6.2015","Lürsen und Stedefreund",32,"Wilfried Huismann, Dirk Morgenstern, Boris Dennulat","Florian Baxmeyer","Stuntkoordinator Ronnie Paul wurde mit dem Preis der Deutschen Akademie für Fernsehen in der Kategorie „Stunts“ ausgezeichnet"
952,"Der Inder","SWR","21.6.2015","Lannert und Bootz",16,"Niki Stein","Niki Stein",""
953,"Schutzlos","SRF","05.7.2015","Flückiger und Ritschard",8,"Manuel Flurin Hendry,Josy Meier,Eveline Stähelin,Waltraud Ehrhardt,Peter Obrist","Manuel Flurin Hendry",""
954,"Ihr werdet gerichtet","SRF","06.9.2015","Flückiger und Ritschard",9,"Urs Bühler","Florian Froschmayer",""
955,"Hinter dem Spiegel","HR","13.9.2015","Janneke und Brix",2,"Erol Yesilkaya","Sebastian Marka",""
956,"Die letzte Wiesn","BR","20.9.2015","Batic und Leitmayr",70,"Stefan Holtz und Florian Iwersen","Marvin Kren",""
957,"Verbrannt","NDR","11.10.2015","Falke und Lorenz",6,"Stefan Kolditz","Thomas Stuber","Letzter Fall für Petra Schmidt-Schaller als Kommissarin Katharina Lorenz. Vorpremiere in zahlreichen Kinos am 30. September 2015. Das Team ermittelt in Salzgitter."
958,"Kollaps","WDR","18.10.2015","Faber, Bönisch, Dalay und Kossik",7,"Jürgen Werner","Dror Zahavi",""
959,"Preis des Lebens","SWR","25.10.2015","Lannert und Bootz",17,"Holger Karsten Schmidt","Roland Suso Richter",""
960,"Côte d’Azur","SWR","01.11.2015","Blum und Perlmann",29,"Wolfgang Stauch","Ed Herzog",""
961,"Schwanensee","WDR","08.11.2015","Thiel und Boerne",28,"Christoph Silber, Thorsten Wettcke, André Erkau","André Erkau","Mit 13,63 Millionen Zuschauern die erfolgreichste Tatort-Folge seit 1992."
962,"Ätzend","RBB","15.11.2015","Rubin und Karow",2,"Mark Monheim und Stephan Wagner","Dror Zahavi",""
963,"Spielverderber","NDR","22.11.2015","Lindholm",23,"Hartmut Schoen, Susanne Schneider","Hartmut Schoen",""
964,"Borowski und die Rückkehr des stillen Gastes","NDR","29.11.2015","Borowski und Brandt",26,"Sascha Arango","Claudia Garde","Fortsetzung der Folge Borowski und der stille Gast (842)"
965,"Einmal wirklich sterben","BR","06.12.2015","Batic und Leitmayr",71,"Claus Cornelius Fischer","Markus Imboden",""
966,"LU","SWR","13.12.2015","Odenthal und Kopper",63,"Dagmar Gabler","Jobst Oetzmann",""
967,"Benutzt","WDR","26.12.2015","Ballauf und Schenk",64,"Jens Maria Merz","Dagmar Seume",""
968,"Wer bin ich?","HR","27.12.2015","Murot",5,"Bastian Günther","Bastian Günther",""
969,"Der große Schmerz","NDR","01.1.2016","Tschiller und Gümer",3,"Christoph Darnstädt","Christian Alvart","1. Teil einer Doppelfolge. Gastauftritt von Helene Fischer."
970,"Fegefeuer","NDR","03.1.2016","Tschiller und Gümer",4,"Christoph Darnstädt","Christian Alvart","2. Teil einer Doppelfolge"
971,"Rebecca","SWR","10.1.2016","Blum und Perlmann",30,"Marco Wiersch","Umut Dag",""
972,"Totenstille","SR","24.1.2016","Stellbrink und Marx",5,"Peter Probst","Zoltan Spirandelli",""
973,"Hundstage","WDR","31.1.2016","Faber, Bönisch, Dalay und Kossik",8,"Christian Jeltsch","Stephan Wagner",""
974,"Sternschnuppe","ORF","07.2.2016","Eisner und Fellner",37,"Uli Brée","Michi Riebl",""
975,"Du gehörst mir","SWR","14.2.2016","Odenthal und Kopper",64,"Jürgen Werner","Roland Suso Richter",""
976,"Im gelobten Land","SWR","21.2.2016","Lannert und Bootz",18,"Christian Jeltsch","Züli Aladag",""
977,"Kartenhaus","WDR","28.2.2016","Ballauf und Schenk",65,"Jürgen Werner","Sebastian Ko",""
978,"Auf einen Schlag","MDR","06.3.2016","Sieland, Gorniak, Mohr und Schnabel",1,"Ralf Husmann","Richard Huber","Neues Team für Dresdeneinzige Folge mit Jella Haase als Polizeianwärterin Maria Mohr"
979,"Kleine Prinzen","SRF","13.3.2016","Flückiger und Ritschard",10,"Stefan Brunner","Markus Welter",""
980,"Zorn Gottes","NDR","20.3.2016","Falke und Grosz",7,"Florian Oeller","Özgür Yildirim","Erster Fall für Franziska Weisz als Kommissarin Julia Grosz"
981,"Fünf Minuten Himmel","SWR","28.3.2016","Berlinger",1,"Thomas Wendrich","Katrin Gebbe",""
982,"Mia san jetz da wo’s weh tut","BR","03.4.2016","Batic und Leitmayr",72,"Max Färberböck, Catharina Schuchmann","Max Färberböck",""
983,"Die Geschichte vom bösen Friederich","HR","10.4.2016","Janneke und Brix",3,"Volker Einrauch","Hermine Huntgeburth",""
984,"Der treue Roy","MDR","24.4.2016","Lessing und Dorn",3,"Murmel Clausen, Andreas Pflüger","Gregor Schnitzler",""
985,"Narben","WDR","01.5.2016","Ballauf und Schenk",66,"Rainer Butt","Torsten C. Fischer",""
986,"Ein Fuß kommt selten allein","WDR","08.5.2016","Thiel und Boerne",29,"Jan Hinter, Stefan Cantz","Thomas Jauch",""
987,"Der hundertste Affe","Radio Bremen","16.5.2016","Lürsen und Stedefreund",33,"Christian Jeltsch","Florian Baxmeyer",""
988,"Das Recht, sich zu sorgen","BR","22.5.2016","Voss, Ringelhahn, Goldwasser, Fleischer und Schatz",2,"Beate Langmaack","Andreas Senn",""
989,"Wir – Ihr – Sie","RBB","05.6.2016","Rubin und Karow",3,"Dagmar Gabler","Torsten C. Fischer",""
990,"Durchgedreht","WDR","21.8.2016","Ballauf und Schenk",67,"Norbert Ehry","Dagmar Seume",""
991,"HAL","SWR","28.8.2016","Lannert und Bootz",19,"Niki Stein","Niki Stein","Premiere auf dem SWR Open-Air-Sommerfestival in Mainz am 8. Juli 2016"
992,"Die Kunst des Krieges","ORF","04.9.2016","Eisner und Fellner",38,"Thomas Roth","Thomas Roth",""
993,"Freitod","SRF","18.9.2016","Flückiger und Ritschard",11,"Eveline Stähelin, Josy Meier","Sabine Boss",""
994,"Feierstunde","WDR","25.9.2016","Thiel und Boerne",30,"Elke Schuch","Lars Jessen",""
995,"Der König der Gosse","MDR","02.10.2016","Sieland, Gorniak und Schnabel",2,"Ralf Husmann, Mika Kallwass","Dror Zahavi",""
996,"Zahltag","WDR","09.10.2016","Faber, Bönisch, Dalay und Kossik",9,"Jürgen Werner","Thomas Jauch",""
997,"Die Wahrheit","BR","23.10.2016","Batic und Leitmayr",73,"Erol Yesilkaya","Sebastian Marka",""
